TOP Bonnet TYPE,END CONNECTION,BODY MAT.,Plug ,Seat,TOP MAT.,GASKET MAT.,PAINTING,POSITIONER,SOV,AFR,ALR,Limit switch Box,VOL. BOOSTER,Pos. Trans,V.TANK.,ROBOTOR,I to P,Q.E.V.,CERTIFICATION,Handwheel,Tubing,Guiding ,Positioner Make,AFR Make,ALR Make,SOV Make,VB Make,Limit Switch Make,QEV Make
,,,,,,,,ND9303HE1-A7,30301-2.2-2R-B5-M6-110VDC-16,SB77-271-M7MN-N,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR+MP+UT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9203-FX-CE07,30301-1.8-2R-B5-24VDC-16-H,B07-233-M1KA,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+MP+UT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9203-HE1T-A3CE09,30308-5-2R-B5-M6-24VDC-16-H,SB07-200-M7KB,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+LP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103FX-CE07 T,30301-2.2-2R-220VAC-60HZ-16,SB77-271-M5KA-N,,,,,,,,,NIBR+MP+LPT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HXT-CE07,30301-2.2-2R-230VAC-50HZ-16,11-4SN-201L-A6KA-NS,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR+UT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9206HX-CE07,30301-2.2-2R-24VDC-16,SB07-224-M6KA,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+UT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9203-HX-CE07,30301-2.2-2R-B2-110VAC-50HZ-16,SB07-225-M1KA,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+UT+LP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103FX-CE07 T A3,30301-2.2-2R-B2-110VAC-50HZ-37,SB77-286-M5MN-N,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+UT+LP+FERRITE CONTENT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9303HXT-CE09,30301-2.2-2R-24VDC-37,SB07-200-M4KA,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR+LP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9303HXT-A7-CE09,30301-2.2-2R-110VAC-50HZ-16,11-4SN-201L-A6KN-NS,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+DEGREASING,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9303HXT,30301-2.5-2R-B5-220VDC-16-CO-H,SB07-224-A1KN,,,,,,,,,100% RADIOGRAPHY+NIBR+EN CERTIFICATION (EN 10204 3.1),,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HU1T-CE07,30301-2.2-2R-230VAC-50HZ-37,SB77-251-M1MA-N,,,,,,,,,,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HNT-CE07,30301-2.2-2R-24VDC-66NS,SB07-224-M6KN,,,,,,,,,,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HXT-CE07 (FREE SUPPLY),30301-2.2-2R-B5-24VDC-16,SB20K-4A-M1D-NGMN (FREE SUPPLY),,,,,,,,,,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,6DR5110-0NN00-0AA0,30301-2.2-2R-M8-24VDC-16,SB20K-4A-M1D-NGMB (FREE SUPPLY),,,,,,,,,,,,,SIEMENS,SHAVO,,ROTEX,,,
,,,,,,,,6DR5110-0NN01-0AA0,30301-2.2-2R-110VDC-16,YT-200,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5211-0EN01-0AA0,30301-2.2-2R-110VAC-50HZ-37,YT-200-BN110,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5215-0EN01-0AA0,30309-10-4R-B5-110VAC-16-CO-FR,YT-205-BN110,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5111-0NM01-0AA0,30301-2.2-2R-230VAC-50HZ-16-H,YT-200-BN210,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5611-0EN00-0AA0,30301-2.5-2R-M6-24VDC-37-01,YT-205-BN210,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5111-0NN01-0AA0,30301-2.2-2R-110VDC-37,YT-220-BN210,,,,,,,,,,,,,SIEMENS,YTC,,ROTEX,,,
,,,,,,,,6DR5611-0EM00-0AA0,51440A-6-2R-B2-230VAC-50HZ-16,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6D5R223-0EM00-0AA0,30125-2.5-2R-24VDC-66NS-H,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5111-0NN11-0AA0,30301-2.2-2R-24VDC-16-H,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5223-0EM00-0AA0,30301-2.2-2R-M8-24VDC-16-H,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5110-0NM00-0AA0,30301-2.5-2R-M6-230VAC-50HZ-37-01,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5210-0EM00-0AA0,30301-2.2-2R-24VDC-37-01,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5115-0EN11-0AA0,30301-1.8-2R-B5-110VAC-50HZ-16,,,,,,,,,,,,,,SIEMENS,,,ROTEX,,,
,,,,,,,,6DR5110-0EN01-0AA0,YT-700-SN32,,,,,,,,,,,,,,SIEMENS,,,YTC,,,
,,,,,,,,6DR5015-0EN00-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5111-0NN11-0AA9 R1D,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5211-0EG01-0AA9-Z R1A,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5110-0NN11-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5612-0NN00-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5011-0EG00-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5212-0EM30-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5010-0NN01-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5110-0NN01-0AA0-C20,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5110-0NN00-0AA3,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5110-0NN20-0AA3,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5110-0NM01-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5510-0NN01-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5211-0EG10-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5115-0EN01-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5210-0EN01-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
,,,,,,,,6DR5210-0NN00-0AA0,,,,,,,,,,,,,,,SIEMENS,,,,,,
