LIFT,ACTUATOR NAME,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage in kg/cm2,Final spring rage in kg/cm2,Force in Kgf for FTC,FPS->,LIFT,ACTUATOR NAME,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage inPSIG,Final spring rage inPSIG,Force in lbs for FTC,NoofSprings
60,SSP3-60.R2.4-4.5-C,4.5,1440,2.4,4.5,3456,,60,SSP3-60.R34.8-65.3-C,65.2671,1440,34.8,65.2671,7619,1
60,SSP3-60.R2.9-4.55-C,4.55,1440,2.9,4.55,4176,,60,SSP3-60.R42.1-66.0-C,65.99229,1440,42.05,65.99229,9207,1
100,SSP3-100.S0.2-1-C,1,1440,0.2,1,288,,100,SSP3-100.S2.9-14.5-C,14.5038,1440,2.9,14.5038,635,1
100,SSP3-100.S0.4-1.2-C,1.2,1440,0.4,1.2,576,,100,SSP3-100.S5.8-17.4-C,17.40456,1440,5.8,17.40456,1270,1
100,SSP3-100.S0.6-1.4-C,1.4,1440,0.6,1.4,864,,100,SSP3-100.S8.7-20.3-C,20.30532,1440,8.7,20.30532,1905,1
100,SSP3-100.S0.8-2.8-C,2.8,1440,0.8,1.6,1152,,100,SSP3-100.S11.6-23.2-C,40.61064,1440,11.6,40.61064,2540,1
100,SSP3-100.S1-3-C,3,1440,1,1.8,1440,,100,SSP3-100.S14.5-26.1-C,43.5114,1440,14.5,43.5114,3175,1
120,SSP3-120.S0.2-1-C,1,1440,0.2,1,288,,120,SSP3-120.S2.9-14.5-C,14.5038,1440,2.9,14.5038,635,1
120,SSP3-120.S0.4-1.2-C,1.2,1440,0.4,1.2,576,,120,SSP3-120.S5.8-17.4-C,17.40456,1440,5.8,17.40456,1270,1
120,SSP3-120.S0.6-1.4-C,1.4,1440,0.6,1.4,864,,120,SSP3-120.S8.7-20.3-C,20.30532,1440,8.7,20.30532,1905,1
120,SSP3-120.S0.8-2.8-C,2.8,1440,0.8,1.6,1152,,120,SSP3-120.S11.6-23.2-C,40.61064,1440,11.6,40.61064,2540,1
120,SSP3-120.S1-3-C,3,1440,1,1.8,1440,,120,SSP3-120.S14.5-26.1-C,43.5114,1440,14.5,43.5114,3175,1
