Temperature  Celsius,Vapour Pressure BarA,Critical Pressure BarA,Density Kg/m3,Sp.Gravity,hf (Btu/lb),hfg (Btu/lb),vf m3/kg,vg m3/kg,Dynamic Viscocity cp,Kinematic Viscocity m2/s
202.2222,16.27108175,220.4,862.1347147,0.862134715,370.8000,830.4,0.001159912,0.121734526,1,1.15991E-06
202.7778,16.45724,220.4,861.6709521,0.861670952,371.8000,829.4,0.001160536,0.120423539,1,1.16054E-06
203.3333,16.650293,220.4,860.7449221,0.860744922,372.9000,828.5,0.001161784,0.119050124,1,1.16178E-06
203.8889,16.843346,220.4,860.2826531,0.860282653,374.0000,827.5,0.001162409,0.117739136,1,1.16241E-06
204.4444,17.036399,220.4,859.359603,0.859359603,375.1000,826.6,0.001163657,0.116428149,1,1.16366E-06
205.0000,17.229452,220.4,858.8988204,0.85889882,376.2000,825.6,0.001164281,0.11517959,1,1.16428E-06
205.5556,17.422505,220.4,857.9787359,0.857978736,377.2000,824.6,0.00116553,0.113931031,1,1.16553E-06
206.1111,17.62245275,220.4,857.5194325,0.857519433,378.3000,823.7,0.001166154,0.112682471,1,1.16615E-06
206.6667,17.8224005,220.4,857.0606207,0.857060621,379.4000,822.7,0.001166779,0.111433912,1,1.16678E-06
207.2222,18.02234825,220.4,856.1444682,0.856144468,380.5000,821.8,0.001168027,0.110247781,1,1.16803E-06
207.7778,18.22919075,220.4,855.6871261,0.855687126,381.6000,820.8,0.001168651,0.108999222,1,1.16865E-06
208.3333,18.43603325,220.4,854.7739061,0.854773906,382.7000,819.8,0.0011699,0.10781309,1,1.1699E-06
208.8889,18.64287575,220.4,854.3180267,0.854318027,383.8000,818.8,0.001170524,0.106689387,1,1.17052E-06
209.4444,18.84971825,220.4,853.4077251,0.853407725,384.8000,817.9,0.001171773,0.105503256,1,1.17177E-06
210.0000,19.0634555,220.4,852.9533014,0.852953301,385.9000,816.9,0.001172397,0.104379553,1,1.1724E-06
210.5556,19.27719275,220.4,852.0459043,0.852045904,387.0000,815.9,0.001173646,0.103255849,1,1.17365E-06
211.1111,19.49093,220.4,851.5929293,0.851592929,388.1000,814.9,0.00117427,0.102132146,1,1.17427E-06
211.6667,19.70466725,220.4,850.6884227,0.850688423,389.2000,813.9,0.001175519,0.101070871,1,1.17552E-06
212.2222,19.92529925,220.4,850.2368896,0.85023689,390.3000,812.9,0.001176143,0.099947167,1,1.17614E-06
212.7778,20.14593125,220.4,849.3352598,0.84933526,391.4000,811.9,0.001177391,0.098885892,1,1.17739E-06
213.3333,20.36656325,220.4,848.8851616,0.848885162,392.5000,810.9,0.001178016,0.097824617,1,1.17802E-06
213.8889,20.58719525,220.4,847.9863949,0.847986395,393.6000,809.9,0.001179264,0.096825769,1,1.17926E-06
214.4444,20.814722,220.4,847.5377249,0.847537725,394.7000,808.9,0.001179888,0.095764494,1,1.17989E-06
215.0000,21.04224875,220.4,846.6418076,0.846641808,395.7000,807.9,0.001181137,0.094765646,1,1.18114E-06
215.5556,21.2697755,220.4,845.7477825,0.845747782,396.8000,806.9,0.001182386,0.093766799,1,1.18239E-06
216.1111,21.504197,220.4,845.3014776,0.845301478,397.9000,805.9,0.00118301,0.092767952,1,1.18301E-06
216.6667,21.7386185,220.4,844.4102794,0.844410279,399.0000,804.9,0.001184258,0.091769104,1,1.18426E-06
217.2222,21.97304,220.4,843.9653846,0.843965385,400.1000,803.8,0.001184883,0.090832685,1,1.18488E-06
217.7778,22.2074615,220.4,843.077,0.843077,401.2000,802.8,0.001186131,0.089833837,1,1.18613E-06
218.3333,22.44877775,220.4,842.6335087,0.842633509,402.3000,801.8,0.001186756,0.088897418,1,1.18676E-06
218.8889,22.690094,220.4,841.7479243,0.841747924,403.4000,800.8,0.001188004,0.087960999,1,1.188E-06
219.4444,22.93141025,220.4,840.8641995,0.840864199,404.5000,799.7,0.001189253,0.087087007,1,1.18925E-06
220.0000,23.17962125,220.4,840.4230325,0.840423033,405.6000,798.7,0.001189877,0.086150588,1,1.18988E-06
220.5556,23.42783225,220.4,839.542086,0.839542086,406.7000,797.7,0.001191126,0.085276596,1,1.19113E-06
221.1111,23.67604325,220.4,839.1023049,0.839102305,407.8000,796.6,0.00119175,0.084402605,1,1.19175E-06
221.6667,23.92425425,220.4,838.2241235,0.838224123,408.9000,795.6,0.001192998,0.083466185,1,1.193E-06
222.2222,24.17936,220.4,837.3477784,0.837347778,410.1000,794.5,0.001194247,0.082654622,1,1.19425E-06
222.7778,24.43446575,220.4,836.9102926,0.836910293,411.2000,793.5,0.001194871,0.08178063,1,1.19487E-06
223.3333,24.6895715,220.4,836.036691,0.836036691,412.3000,792.4,0.00119612,0.080906639,1,1.19612E-06
223.8889,24.951572,220.4,835.1649114,0.835164911,413.4000,791.4,0.001197368,0.080095075,1,1.19737E-06
224.4444,25.2135725,220.4,834.729703,0.834729703,414.5000,790.3,0.001197993,0.079283512,1,1.19799E-06
225.0000,25.475573,220.4,833.8606455,0.833860645,415.6000,789.2,0.001199241,0.078471948,1,1.19924E-06
225.5556,25.74446825,220.4,832.9933957,0.832993396,416.7000,788.2,0.00120049,0.077660385,1,1.20049E-06
226.1111,26.0133635,220.4,832.560447,0.832560447,417.8000,787.1,0.001201114,0.076848821,1,1.20111E-06
226.6667,26.28225875,220.4,831.6958982,0.831695898,418.9000,786.0,0.001202363,0.076099686,1,1.20236E-06
227.2222,26.55804875,220.4,830.8331432,0.830833143,420.0000,784.9,0.001203611,0.075288122,1,1.20361E-06
227.7778,26.826944,220.4,830.4024365,0.830402436,421.2000,783.8,0.001204235,0.074538987,1,1.20424E-06
228.3333,27.10962875,220.4,829.5423615,0.829542361,422.3000,782.8,0.001205484,0.073789851,1,1.20548E-06
228.8889,27.38541875,220.4,828.6840662,0.828684066,423.4000,781.7,0.001206733,0.073040716,1,1.20673E-06
229.4444,27.6681035,220.4,827.8275452,0.827827545,424.5000,780.6,0.001207981,0.07229158,1,1.20798E-06
230.0000,27.95078825,220.4,827.3999483,0.827399948,425.6000,779.5,0.001208605,0.071542444,1,1.20861E-06
230.5556,28.233473,220.4,826.5460784,0.826546078,426.7000,778.4,0.001209854,0.070855737,1,1.20985E-06
231.1111,28.5230525,220.4,825.6939691,0.825693969,427.9000,777.3,0.001211102,0.070106601,1,1.2111E-06
231.6667,28.812632,220.4,824.8436148,0.824843615,429.0000,776.2,0.001212351,0.069419894,1,1.21235E-06
232.2222,29.10910625,220.4,824.4190942,0.824419094,430.1000,775.1,0.001212975,0.068733186,1,1.21298E-06
232.7778,29.39868575,220.4,823.5713625,0.823571362,431.2000,773.9,0.001214224,0.068046479,1,1.21422E-06
